Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JNJ,1/2/2020,145.869995,146.020004,145.080002,145.970001,139.521317,5777000
JNJ,1/3/2020,143.5,145.369995,143,144.279999,137.905975,5752400
JNJ,1/6/2020,144,144.199997,142.850006,144.100006,137.733963,7731300
JNJ,1/7/2020,144.009995,145.449997,141.380005,144.979996,138.575058,7382900
JNJ,1/8/2020,144.869995,145.979996,143.699997,144.960007,138.555954,6605800
JNJ,1/9/2020,145.759995,146.029999,144.990005,145.389999,138.966934,6112700
JNJ,1/10/2020,145.75,146.179993,144.899994,145.059998,138.65152,5042600
JNJ,1/13/2020,145.479996,145.789993,144.720001,145.699997,139.263245,4593200
JNJ,1/14/2020,145.050003,146.610001,144.729996,146.520004,140.047012,7037500
JNJ,1/15/2020,146.399994,147.399994,146.240005,147.009995,140.515396,4960300
JNJ,1/16/2020,147.419998,148.839996,146.199997,148.199997,141.652802,6476000
JNJ,1/17/2020,148.410004,149.410004,147.929993,149.169998,142.579956,9083600
JNJ,1/21/2020,148.580002,150.169998,148.5,149.270004,142.675568,9543900
JNJ,1/22/2020,146.699997,149.179993,146,148.25,141.700607,10305300
JNJ,1/23/2020,148.039993,148.770004,146.759995,148.529999,141.968231,8671900
JNJ,1/24/2020,148.580002,148.949997,147.929993,148.320007,141.767532,9051900
JNJ,1/27/2020,147.520004,149.460007,147,148.75,142.178513,7587100
JNJ,1/28/2020,148.460007,150.570007,148.149994,149.5,142.895386,7336600
JNJ,1/29/2020,149.449997,151.190002,149.130005,150.539993,143.889435,6288600
JNJ,1/30/2020,150.029999,150.509995,149.050003,150.360001,143.717407,6470600
JNJ,1/31/2020,149.75,150,148.639999,148.869995,142.293213,8651700
JNJ,2/3/2020,149.419998,150.490005,149.240005,150.169998,143.535782,5765200
JNJ,2/4/2020,151.490005,152.75,151.199997,151.600006,144.902603,6541400
JNJ,2/5/2020,151.720001,154.020004,151.309998,153.990005,147.187027,5979900
JNJ,2/6/2020,154.25,154.5,152.740005,153.529999,146.747345,6201200
JNJ,2/7/2020,153.339996,153.460007,151.550003,151.889999,145.179794,5700300
JNJ,2/10/2020,151.679993,151.910004,150.889999,151.860001,145.151108,4835600
JNJ,2/11/2020,152.289993,152.380005,151.539993,151.990005,145.275375,3715300
JNJ,2/12/2020,151.869995,152.149994,150.919998,151.089996,144.415131,5166800
JNJ,2/13/2020,150.160004,151.039993,149.880005,150.089996,143.459305,5480200
